"","SLC_SMT_NEG_143I","SLC_SMT_NEG_16I","SLC_SMT_NEG_89I","SLC_SMT_NEG_194I","SLC_SMT_NEG_18J","SLC_SMT_NEG_142I","SLC_SMT_NEG_15I","SLC_SMT_NEG_91I","SLC_SMT_NEG_197I","SLC_SMT_NEG_101J","SLC_SMT_NEG_17J","SLC_SMT_NEG_141I","SLC_SMT_NEG_18I","SLC_SMT_NEG_88I","SLC_SMT_NEG_193J","SLC_SMT_NEG_159J","SLC_SMT_NEG_103J","SLC_SMT_NEG_155J","SLC_SMT_NEG_137I","SLC_SMT_NEG_101I","SLC_SMT_NEG_17I","SLC_SMT_NEG_158J","SLC_SMT_NEG_110J","SLC_SMT_NEG_153J","SLC_SMT_NEG_193I","SLC_SMT_NEG_159I","SLC_SMT_NEG_103I","SLC_SMT_NEG_155I","SLC_SMT_NEG_191J","SLC_SMT_NEG_160J","SLC_SMT_NEG_192I","SLC_SMT_NEG_158I","SLC_SMT_NEG_110I","SLC_SMT_NEG_153I","SLC_SMT_NEG_109J","SLC_SMT_NEG_152J","SLC_SMT_NEG_191I","SLC_SMT_NEG_156I","SLC_SMT_NEG_144I","SLC_SMT_NEG_160I","SLC_SMT_NEG_109I","SLC_SMT_NEG_90I","SLC_SMT_NEG_152I","SLC_SMT_NEG_142J","SLC_SMT_NEG_15J","SLC_SMT_NEG_91J","SLC_SMT_NEG_141J","SLC_SMT_NEG_194J","SLC_SMT_NEG_75I","SLC_SMT_NEG_89J"
"GGB27873_SGB41457",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13386,0,0,4794
"GGB27876_SGB40310",9210,0,35691,0,0,8313,0,48990,15243,38611,9733,10280,0,14002,115448,0,121327,0,0,11635,0,0,93736,38256,71732,0,39334,0,17390,0,12718,0,86007,0,19120,0,47092,0,0,35163,22505,0,0,133238,0,23064,13941,0,0,1024
"GGB27884_SGB40318",31429,0,34830,0,0,25295,0,1156843,71334,67399,61525,53391,0,173231,602052,0,95237,0,0,20895,20712,0,239221,258404,592366,0,12753,0,25989,37061,81291,0,82198,26933,26896,0,84676,0,14715,257760,56840,12351,0,708199,0,195664,0,0,0,0
"GGB27885_SGB40319",0,0,8463,0,0,0,0,24781,6762,15881,7961,27278,0,13512,90006,0,12447,0,0,8521,0,0,18044,17375,94077,0,10970,0,0,7591,8698,0,48364,0,0,0,14238,0,0,24361,10871,0,0,19946,0,9690,25310,0,0,0
"GGB27894_SGB40329",8262,0,0,0,0,0,0,0,0,0,0,55988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14296,0,0,266119,0,0,0
"GGB27919_SGB40357",0,0,2452612,0,0,0,0,2566600,157135,2317914,315836,0,0,1273249,6622701,0,3475948,0,0,420348,125187,0,2961030,2755344,5109831,0,490009,0,355578,64676,201902,0,1744769,584493,1069511,0,1753582,0,45685,1114317,545698,37478,9966,0,0,537698,0,0,0,867151
"GGB27929_SGB40368",7606,21540,8048,0,13762,7698,37298,61482,7610,17572,9459,0,17516,10307,58883,0,12339,0,74937,9947,0,0,10884,12653,29609,0,0,0,6963,8618,11691,0,26576,0,0,0,9900,19385,0,29837,0,0,0,62376,8191,8391,0,0,400048,0
"GGB28250_SGB40793",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28310_SGB40880",19011,196312,2456261,0,741403,49742,19294,2585954,756408,1135150,34839,392202,155409,54446,2548475,18741,1175669,0,349131,137548,17118,0,470975,146704,1480048,12267,7525003,0,355611,37662,39126,1541206,10094854,40793,1708035,0,1188606,74575,81733,572788,755777,53676,51786,1297480,10664,709861,1773800,0,842469,92584
"GGB28317_SGB40889",0,0,0,0,0,0,0,20623,0,9925,0,16524,0,0,25293,0,0,0,0,0,0,0,0,0,24829,0,0,0,0,0,0,0,17203,0,13853,0,17134,0,0,13162,25144,0,0,12395,0,11300,32543,0,0,0
"GGB28330_SGB40904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47847,0
"GGB28380_SGB40960",0,0,0,0,0,0,0,5628,0,0,0,7055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33818,0,0,9608,0,0,0
"GGB28382_SGB40962",0,0,0,0,8666,0,0,0,6438,0,0,0,7149,0,0,0,7223,0,7794,0,0,0,0,0,0,0,0,0,0,0,0,11057,0,0,0,0,0,10872,0,0,0,0,0,0,0,0,0,0,3051,0
"GGB28386_SGB40966",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28387_SGB40967",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28388_SGB40968",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28393_SGB40973",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28394_SGB40975",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6255,0,0,0,0,0,7678,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28395_SGB40976",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28402_SGB40984",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28403_SGB40190",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28409_SGB40991",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28416_SGB40998",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28418_SGB41001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28419_SGB41002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5942,0,0,0,0,0,6199,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28421_SGB41004",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5491,0,0,0,0,0,5691,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28422_SGB41005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28428_SGB41011",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28433_SGB41016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28437_SGB41020",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28439_SGB41022",0,0,0,0,0,0,0,0,6150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5145,0,0,0,0,0,5350,0,0,0,0,0,6142,0,0,0,0,0,0
"GGB28456_SGB41039",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5306,0,0,0,0,0,0,0,0,0,0,0,0,5209,0,0,0,0,0,4988,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28765_SGB41414",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21192,0,0,0,0,0,27843,0,60478,0,0,0,13806,0,0,0,0,0,0,0,0,0
"GGB28769_SGB41421",0,0,0,0,0,0,0,0,0,12403,0,0,0,0,19229,0,0,0,0,0,0,0,0,0,30984,0,0,0,0,0,0,0,7667,0,0,0,0,0,0,10549,0,0,0,20317,0,0,0,0,0,0
"GGB28772_SGB41425",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8848,11407
"GGB28778_SGB41431",0,0,0,0,0,0,0,12709,0,16626,0,0,0,0,37724,0,0,0,0,0,0,0,0,0,49314,0,0,0,11506,0,0,0,9758,0,12614,0,14358,0,0,15818,11880,0,10812,0,0,0,0,0,0,0
"GGB28784_SGB41437",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28791_SGB41444",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28793_SGB41446",0,0,0,0,0,0,0,0,0,0,0,0,0,0,17928,0,0,0,0,0,0,0,0,0,16360,0,0,0,0,0,0,0,0,0,13226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28796_SGB41449",0,0,0,0,7791,0,0,0,0,0,0,0,0,0,0,0,8502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28803_SGB41457",0,0,0,0,0,0,0,0,0,0,0,12488,0,0,0,0,12857,0,0,0,0,0,0,0,14358,0,0,0,0,0,0,0,9732,0,0,0,0,0,0,12163,0,0,0,30804,0,0,0,0,0,0
"GGB28814_SGB41469",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29354,0,0,0,0,0,0
"GGB28828_SGB41484",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28831_SGB41487",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28839_SGB41503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28840_SGB102297",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28842_SGB41507",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28845_SGB41512",0,0,0,0,0,0,0,8461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3544
"GGB28846_SGB41513",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28849_SGB41516",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1863,0
"GGB28851_SGB41518",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28854_SGB41523",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28865_SGB41536",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16699,0,0,0,0,0,0
"GGB28865_SGB41537",0,0,0,0,0,0,0,0,0,0,0,0,0,0,23599,0,0,0,0,0,0,0,0,0,34672,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28869_SGB41543",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12517,0,0,0,0,0,0,0,0,0,14587,0,0,0,0,0,0,0,0,0,0,0,0,14414,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28870_SGB41545",0,0,0,0,18050,0,0,0,0,0,0,0,0,0,25283,0,0,0,0,0,0,0,0,0,25877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28870_SGB41546",0,0,0,0,0,0,0,0,0,0,0,0,0,0,27839,0,0,0,31941,0,0,0,0,0,26287,0,0,0,0,0,0,36847,0,0,0,0,0,138817,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28870_SGB41548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28875_SGB41555",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28879_SGB41559",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28879_SGB43526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4072,4880
"GGB28881_SGB41561",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28887_SGB41568",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28888_SGB41569",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28898_SGB41580",0,0,0,0,0,10245,0,0,17513,0,0,0,0,0,0,0,0,0,14155,0,0,0,0,0,0,0,0,18667,0,0,0,14157,0,0,0,0,0,31823,0,19433,0,0,15101,43635,0,0,0,0,0,0
"GGB28901_SGB41592",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16508,0,0,0,0,0,0,0,0,12694,42305,0,0,0,0,0,0,0,0,12589,14619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28903_SGB41594",0,0,0,0,0,0,0,0,12770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28904_SGB41597",0,14921,0,0,40693,0,0,0,0,0,0,0,21254,0,15068,0,25097,0,75234,0,0,0,0,0,27054,0,13960,0,0,0,0,112621,12803,0,0,0,0,257572,0,0,0,0,0,0,0,0,0,0,21546,0
"GGB28908_SGB41656",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5030,0
"GGB28925_SGB41622",0,0,0,0,0,0,0,10098,11362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9998,0,0,10653,0,0,0,0,0,0,0
"GGB28926_SGB41623",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28927_SGB41625",0,0,0,0,14190,0,0,0,0,0,0,0,13994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5288,0
"GGB28928_SGB41627",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10622,0,0,0,0,0,0,0,0,0,19189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28933_SGB59816",0,0,0,0,0,0,0,10750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28934_SGB41635",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13907,0,0,0,0,0,0,0,0,0,21048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14027,0,0,0,0,0,0
"GGB28942_SGB41646",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10849,0,0,0,0,0,0,0,0,0,13843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28945_SGB41650",0,0,0,0,0,0,0,12230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28946_SGB41652",0,0,0,0,0,0,0,0,0,0,0,0,0,0,24735,0,24637,0,0,0,0,0,0,0,23475,0,24643,0,0,0,0,0,22970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28948_SGB41654",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21971,0,0,0,0,0,0,0,0,0,32622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28949_SGB41655",0,0,0,0,0,0,0,10349,0,0,0,0,0,0,12259,0,0,0,11098,0,0,0,0,0,16234,0,0,0,0,0,0,0,13339,0,10329,0,0,10285,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28949_SGB41656",0,0,0,0,13961,0,0,9185,0,0,0,0,11239,0,0,0,0,0,49901,0,0,0,0,0,0,0,0,0,0,0,0,56034,0,0,0,0,0,11959,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28951_SGB102295",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28954_SGB41661",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12582,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28954_SGB41662",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28956_SGB41665",0,0,0,0,16320,0,0,0,0,0,0,0,15584,0,15843,0,0,0,0,0,0,0,0,0,23765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3976,0
"GGB28957_SGB41666",0,0,0,0,0,0,0,0,0,0,0,0,0,0,12581,0,0,0,0,0,0,0,0,0,17186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28958_SGB41667",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28959_SGB41668",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28961_SGB41670",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10654,0,0,0,0,0,0,0,0,0,19920,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28963_SGB41672",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28967_SGB41417",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16178,0
"GGB28967_SGB41678",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28968_SGB41679",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28980_SGB41692",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28981_SGB41693",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28981_SGB41694",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063
"GGB28988_SGB41701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15764,267
"GGB28989_SGB41703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB28990_SGB41704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,21817,0,0,0,0,0,0,0,0,0,28768,0,0,0,0,0,0,0,0,0,15061,0,13094,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB29001_SGB41717",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB29003_SGB41719",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13650,0,0,0,0,0,0,0,0,14863,0,0,0,0,0,0
"GGB29004_SGB41721",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB29005_SGB41723",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB29531_SGB42317",0,0,0,0,8621,0,0,10512,0,0,0,0,0,0,12024,0,0,0,0,0,0,0,0,0,23965,0,0,0,0,0,0,0,9964,0,9094,0,0,0,0,0,0,0,0,20871,0,0,0,0,3435,303
"GGB29546_SGB42339",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11020,0,0,0,0,0,0
"GGB29559_SGB42355",0,0,0,0,0,0,0,5602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB30045_SGB42945",0,21507,81444,0,105097,9066,10368,250444,30637,113179,8167,0,21008,23546,480434,0,154438,0,0,80143,6104,0,120583,29958,266518,0,502226,0,63450,7131,14169,0,541176,14729,174348,0,224139,0,12987,46042,134261,16551,11591,90536,0,80797,0,0,0,0
"GGB30046_SGB42947",0,0,13978,0,0,0,0,24756,8170,8445,0,12451,0,6902,31698,0,9178,0,0,8177,0,0,18583,7526,21188,0,20750,0,10089,0,4885,0,41070,6925,28161,0,22937,0,0,5509,16299,5357,6079,11411,0,10300,0,0,0,0
"GGB30048_SGB42949",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86002,0
"GGB30141_SGB43066",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB30142_SGB43067",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB30147_SGB43074",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10454,0,0,0,0,0,0,0,0,0,12240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GGB30290_SGB43252",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
