"","89_MattDonor_MUT_F_Col_S268","90_MattDonor_WT_M_Col_S269","91_MattDonor_WT_F_Col_S270","92_MattDonor_WT_M___S271","93_MattDonor_MUT_M_Cec_S272","94_MattDonor_MUT_F_Cec_S273"
"14-2 sp000403845",0,17,0,34,0,18
"Eubacterium_F sp910574015",688,1957,1294,1284,1523,3160
"MGYG000330978",14,60,48,67,12,47
"Eubacterium_F sp910575665",25,3345,880,226,96,94
"Eubacterium_F sp910585745",57,296,132,330,33,350
"MGYG000329322",37,181,128,167,285,156
"Eubacterium_F sp910579145",0,20,20,33,0,0
"Caccovicinus sp910585635",4502,30671,10972,1588,442,3012
"Caccovicinus sp009774615",4044,10338,5771,4992,908,6587
"Caccovicinus sp910584785",187,18191,742,16815,219,946
"MGYG000411451",491,1783,744,734,149,997
"Caccovicinus sp910575565",6736,31647,6452,2912,734,3646
"MGYG000322995",205,640,371,310,58,319
"Caccovicinus sp910588895",31,215,72,48,12,55
"Acetatifactor sp910576125",197,1367,617,8883,1401,2824
"Acetatifactor sp910589035",93,361,229,436,125,385
"Acetatifactor sp910579755",73,2181,1021,12281,4302,1404
"Acetatifactor sp910584865",51,330,116,1048,194,539
"Acetatifactor sp910585805",75,709,50,18134,4009,7369
"Acetatifactor sp910585425",96,621,207,13426,2012,1222
"Acetatifactor sp910585615",193,1068,179,4077,1024,1626
"Acetatifactor sp910586775",41,314,221,7511,1467,1839
"Acetatifactor sp910589655",45,308,385,4153,244,925
"Acetatifactor sp910586835",0,18,16,43,0,25
"Acetatifactor sp003612485",0,231,295,502,0,281
"MGYG000329336",0,30,23,78,18,42
"Acetatifactor sp910577185",16,105,100,801,227,137
"MGYG000325587",26,140,87,197,579,145
"Acetatifactor sp910584235",55,313,52,4522,2460,2315
"MGYG000325385",0,15,32,42,13,38
"Acetatifactor sp910580225",0,85,30,199,54,123
"Acetatifactor sp910577035",0,37,14,69,0,36
"Acetatifactor sp910578995",15,64,50,220,38,158
"Acetatifactor sp910578185",0,54,25,147,23,64
"MGYG000327004",0,22,12,103,34,69
"Acetatifactor sp910586485",0,33,11,124,37,31
"MGYG000331015",0,23,20,24,40,17
"Acetatifactor sp910587555",0,70,40,280,45,115
"1XD8-76 sp910578085",576,2645,694,7742,55281,2936
"1XD8-76 sp910573755",932,4543,1480,62498,6835,30965
"1XD8-76 sp910577955",35,92,82,51,0,51
"UBA3282 sp009774175",6439,11503,4722,5538,1491,10607
"UBA3282 sp910575245",823,14226,14566,4046,2316,6536
"UBA3282 sp009774655",4193,12504,7460,14035,1485,27358
"UBA3282 sp910577735",936,29896,3156,24143,1717,20027
"UBA3282 sp910588215",409,1053,405,487,660,9737
"UBA3282 sp910584725",44,462,143,513,86,230
"MGYG000329173",269,675,537,414,73,4025
"MGYG000325371",0,75,50,139,36,111
"MGYG000324467",25,225,74,410,110,335
"UBA3282 sp910587095",101,83,459,172,356,1411
"UBA3282 sp009774585",92,239,198,455,85,524
"UBA3282 sp910576815",50,228,103,249,256,262
"UBA3282 sp910575775",61,512,154,734,161,507
"UBA3282 sp003611805",36,577,154,773,124,341
"UBA3282 sp910579285",0,140,27,368,53,151
"UBA3282 sp910579505",0,122,24,154,21,46
"MGYG000328328",21,55,14,104,12,151
"MGYG000325448",0,40,33,101,28,83
"MGYG000328360",0,69,29,140,78,94
"MGYG000323430",14,65,36,234,48,107
"UBA3282 sp003612405",19,91,81,230,58,239
"UBA3282 sp009774215",12,27810,81,1368,49,65
"MGYG000324289",14,37,32,47,113,144
"Paralachnospira sp910588815",19,149,121,605,38,1083
"Paralachnospira sp022800815",0,20,0,37,0,39
"Paralachnospira sp910587905",0,21,0,21,0,47
"COE1 sp002490665",810,34,23304,259,107,63273
"COE1 sp009774395",164,2615,542,35849,4537,10537
"COE1 sp000403335",130,753,361,5456,371,1690
"MGYG000410938",36,217,107,284,52,258
"MGYG000325626",25,182,103,373,78,288
"COE1 sp002358575",24,208,590,959,705,348
"MGYG000325712",13,84,57,249,61,137
"COE1 sp910586585",18,93,95,582,116,126
"COE1 sp910586715",0,58,19,515,31,100
"COE1 sp910579275",12,82,133,993,367,436
"CAG-95 sp910585005",0,11317,125,2168,18,148
"CAG-95 sp009917455",249,4592,1373,5588,1343,2508
"CAG-95 sp910579685",753,2475,522,10476,2191,12251
"CAG-95 sp910579425",433,3033,1213,4458,1581,4216
"CAG-95 sp910579495",33,262,462,498,93,407
"CAG-95 sp003612395",126,2237,482,497,159,1694
"CAG-95 sp910586025",23,229,102,731,127,609
"CAG-95 sp910577275",17,222,55,265,65,136
"CAG-95 sp009911035",0,81,58,77,22,60
"CAG-95 sp910585075",0,76,30,174,21,103
"MGYG000410775",0,40,14,61,0,43
"MGYG000325648",15,46,31,70,0,99
"CAG-95 sp011959285",19,70,17,205,38,111
"UBA7109 sp910576335",703,3652,919,7128,808,3410
"UBA7109 sp910575605",50,226,71,491,133,321
"MGYG000323043",11,31,46,43,22,38
"MGYG000405682",0,49,18,44,0,24
"MGYG000368546",29,39,50,30,12,26
"Ventrimonas sp910575255",2694,5283,1952,1254,218,5318
"Ventrimonas sp910577765",175,2308,384,848,107,755
"Ventrimonas sp910586255",681,6643,3011,1599,654,5355
"Ventrimonas sp003611875",160,822,802,1508,449,1210
"Ventrimonas sp009911065",182,804,544,1018,202,758
"MGYG000410706",82,296,155,214,37,351
"MGYG000327273",119,413,181,1103,175,1044
"Ventrimonas sp910577655",473,6939,1365,2847,778,2738
"Ventrimonas sp022799175",566,4348,548,952,243,3933
"MGYG000324149",17,86,29,41,11,73
"UBA3402 sp910574345",2104,4007,2189,2017,481,6056
"UBA3402 sp910575585",645,2260,1206,1524,223,2509
"MGYG000410803",19,200,112,187,38,188
"UBA3402 sp910588325",531,1998,1453,211,60,1431
"UBA3402 sp022798105",928,3575,2697,920,289,2449
"UBA3402 sp022795805",3740,10239,4465,3779,927,8008
"UBA3402 sp002358555",134,33,43,42,35,589
"UBA3402 sp910588865",3284,11400,14203,2348,381,8743
"UBA3402 sp022796015",358,1379,830,942,195,2441
"UBA3402 sp910586845",1742,4614,510,6220,1509,4925
"UBA3402 sp910585435",128,1163,365,360,85,737
"UBA3402 sp910577935",2571,17103,14343,6593,314,18727
"UBA3402 sp910585645",44,171,64,114,14,166
"UBA3402 sp021769025",42,121,65,49,0,123
"1XD42-69 sp011959925",31,866,45,8403,90,591
"1XD42-69 sp009911505",144,614,551,1533,233,855
"1XD42-69 sp022794015",12,396,45,5379,86,423
"1XD42-69 sp910588565",15,730,63,4632,678,277
"1XD42-69 sp910577065",0,36,30,137,29,45
"1XD42-69 sp910586645",0,14,0,17,0,0
"Merdisoma sp009917555",253,770,127,434,25,2931
"Merdisoma sp910574255",190,1754,393,3938,777,3469
"Merdisoma sp011959465",77,519,287,1469,678,1072
"Merdisoma sp910574835",127,560,217,964,89,1399
"Merdisoma sp910574475",63,541,157,780,117,499
"MGYG000330323",90,290,55,1396,90,2370
"Merdisoma sp022791635",21,156,49,433,27,451
"Kineothrix sp011958945",1245,2350,1249,2596,303,5624
"Kineothrix sp910579935",39,366,173,662,111,415
"Kineothrix sp910576535",19,88,348,397,51,241
"MGYG000327499",0,43,31,54,0,65
"Kineothrix sp000403275",43,180,87,310,44,168
"Kineothrix sp910588855",17,248,88,343,47,193
"Kineothrix sp910587275",0,35,16,51,0,44
"MGYG000326008",16,46,21,96,10,64
"Kineothrix sp910585965",17,105,36,76,0,85
"Kineothrix sp009911195",16,32,18,52,12,67
"RGIG4057 sp910587085",88,217,432,491,103,722
"RGIG4057 sp910579615",0,20,14,19,0,16
"UMGS1370 sp910577645",1091,8609,2646,1536,70,1041
"UMGS1370 sp910586755",24,276,71,89,0,40
"UBA2882 sp910574745",2899,307,2815,276,75,39888
"Eubacterium_J sp910574915",115,860,900,1789,7890,814
"Eubacterium_J sp910579075",122,4313,23360,10491,0,8003
"Eubacterium_J sp910580075",13,115,185,162,16,119
"Eubacterium_J sp910584595",23,125,151,251,68,178
"MGYG000330231",0,0,0,11,0,0
"MGYG000327453",0,43,27,105,54,70
"Butyribacter sp910575435",32,131,155,354,322,112
"Butyribacter sp910585905",11,26,12,16,0,30
"MGYG000330019",0,39,29,127,0,56
"Butyribacter sp009774235",1887,689,540,4099,58,7974
"VSOB01 sp009774625",25,169,164,796,262,216
"VSOB01 sp910587155",24,98,42,131,32,143
"VSOB01 sp910587635",28,434,104,8129,129,855
"Copromonas sp009917545",905,4681,2141,11328,603,3361
"Copromonas sp910575275",352,1784,833,1933,411,2075
"Copromonas sp022792295",29,147,28,1272,87,214
"Copromonas sp910586315",21,97,34,149,44,77
"Bariatricus sp022793995",11,44,13,42,26,36
"Clostridium_Q sp910575795",2601,16487,11007,11230,2913,13986
"RGIG4284 sp910576205",172,1707,394,667,158,800
"RGIG4284 sp022796795",61,444,172,2008,123,1219
"RGIG7193 sp022793375",74,401,449,216,190,243
"RGIG7193 sp022791755",11,102,159,56,36,89
"Roseburia sp910587865",72,670,110,4251,73,1165
"Roseburia sp910584215",78,192,85,94,0,94
"MGYG000329248",0,20,24,93,16,69
"Lachnospira sp910589305",855,2795,1164,2206,420,2248
"Eubacterium_G sp910584795",344,928,600,302,0,457
"Eubacterium_G sp910574895",0,206,57,71,34,35
"Paralachnospira_A sp910588405",109,359,170,276,57,295
"Paralachnospira_A sp910579325",11,45,16,68,17,50
"CAG-317 sp910578495",19,79,21,70,0,92
"CAG-317 sp011960265",0,60,61,34,0,73
"JAAWJJ01 sp022796875",49,389,185,162,20,465
"Blautia_A sp900551075",23,128,73,45,979,45
"Blautia_A massiliensis",0,0,0,0,0,0
"CAG-56 sp004793585",426,1851,1113,5393,864,3861
"Enterocloster aldenensis",14,63,37,66,22,71
"Enterocloster clostridioformis",18,144,72,162,32,145
"Choladousia sp003612585",199,480,512,158,19,225
"CAG-510 sp910577105",42,197,100,505,166,423
"MGYG000325650",0,0,0,0,0,0
"CAG-590 sp910585605",24,189,76,129,53,105
"Blautia pseudococcoides",0,18,19,19,540367,35
"Eisenbergiella sp910585455",0,45,12,101,17,87
"MGYG000392808",732,7241,1981,7429,540,5775
"W0P33-017 sp910589045",0,591,42,1273,340,56
"SIG307 sp910579465",20,116,49,201,37,124
"MGYG000326869",15,29,15,28,0,55
"CAG-603 sp910583605",34,138,84,369,141,318
"Marvinbryantia sp900550755",0,12,17,29,0,31
"RGIG8607 sp910577045",20,31,61,542,171,439
"MGYG000326584",0,0,0,0,0,0
"MGBC114844 sp910585255",0,23,12,50,0,37
"MGYG000325493",0,15,12,12,0,10
"MGYG000329929",0,76,32,324,94,99
"UBA2821 sp014799465",0,27,16,43,62,35
"MGBC100174 sp910576895",0,13,17,24,0,0
"Muricomes contortus_B",0,26,19,102,48,35
"Extibacter muris",0,13,10,13,14,0
"Anaerotignum sp910576545",73,320,146,769,351,597
"Anaerotignum sp910578425",0,31,20,87,343,30
"Coprocola sp910575055",12,262,36,307,27,92
"Enterenecus sp910588495",7898,85412,48597,9082,1188,30043
"Enterenecus sp910587285",74,66894,705,4355,91,788
"MGYG000327450",6026,33462,15725,18488,1764,35569
"Enterenecus sp910588625",654,3552,1772,3147,5791,3306
"Enterenecus sp910575695",1213,14813,6326,34209,2603,38029
"MGYG000326888",2807,19251,1791,9200,863,10219
"Enterenecus sp910585155",908,7861,33542,2217,2060,3578
"MGYG000331159",1337,8831,3755,5002,1877,9937
"Enterenecus sp910579595",483,12103,4064,8467,5102,12234
"MGYG000410353",189,591,247,512,116,1954
"Enterenecus sp910577525",197,1432,707,1173,234,1973
"Enterenecus sp910587395",135,1228,558,994,209,1230
"MGYG000328307",60,601,415,637,116,824
"Enterenecus sp910587255",116,1073,445,953,235,1160
"Enterenecus sp910588105",106,1130,476,652,144,951
"MGYG000410945",86,1004,454,585,118,665
"Enterenecus sp910579155",75,4824,5080,1859,745,958
"MGYG000322966",69,559,259,450,86,592
"MGYG000410761",74,565,304,873,127,805
"Enterenecus sp910587205",71,721,368,621,138,711
"MGYG000410914",58,427,252,246,35,531
"Enterenecus sp910584285",34,343,150,264,48,392
"MGYG000327286",31,333,168,172,16,232
"Enterenecus sp910585265",69,672,409,293,64,474
"Enterenecus sp910584835",78,848,277,513,65,532
"Enterenecus sp910588135",40,428,211,250,37,295
"MGYG000329348",24,283,183,166,41,299
"MGYG000325584",14,188,91,97,14,158
"MGYG000410874",21,300,127,174,16,332
"MGYG000360698",50,528,170,368,66,422
"Lawsonibacter sp003612335",453,4190,2263,5998,1887,7933
"Lawsonibacter sp910585815",551,5402,3994,5881,733,10704
"Lawsonibacter sp910584605",1377,9926,9030,11523,1778,26728
"Lawsonibacter sp910575265",456,5799,1730,6428,676,10098
"MGYG000432202",3895,48549,1332,9695,2469,31991
"Lawsonibacter sp022799835",309,4036,2680,2834,543,6394
"MGYG000433528",526,2805,1939,3782,637,9336
"Lawsonibacter sp022794495",239,2655,1348,1871,487,4869
"MGYG000410681",322,2415,1535,1177,237,2394
"Lawsonibacter sp910578735",753,9336,3513,4437,553,9951
"MGYG000325175",450,2304,3196,2592,706,5581
"Lawsonibacter sp022801435",725,3104,2033,3701,1710,5396
"Lawsonibacter sp009911645",372,3651,672,2725,249,7339
"Lawsonibacter sp943192995",49,1082,349,638,240,947
"MGYG000329509",146,1603,1481,923,226,1530
"Lawsonibacter sp022798855",320,2833,2415,1136,172,3374
"Lawsonibacter sp910588455",40,795,309,1665,725,570
"Lawsonibacter sp910589085",1215,5176,2245,3532,903,11961
"Lawsonibacter sp022793355",286,3676,1304,854,213,2825
"MGYG000328991",96,1117,438,1160,266,1721
"Lawsonibacter sp022795855",213,4447,1724,4294,520,1927
"Lawsonibacter sp022791995",22,211,123,331,364,822
"MGYG000323117",220,846,378,857,224,1387
"Lawsonibacter sp000492175",116,2495,466,1650,204,1637
"MGYG000324476",62,436,207,514,91,764
"MGYG000411366",62,468,224,414,90,758
"MGYG000345714",51,547,160,540,119,665
"MGYG000329989",44,347,214,313,57,657
"Lawsonibacter sp910577805",114,1330,1512,2402,1198,2761
"MGYG000410703",42,315,157,365,43,499
"MGYG000329873",27,317,170,284,43,474
"Lawsonibacter sp022796195",37,343,107,311,64,463
"MGYG000411569",29,245,111,242,39,350
"MGYG000327081",18,137,76,122,22,203
"Dysosmobacter sp009774015",1364,38432,1726,22196,6354,25875
"Dysosmobacter sp910583785",203,2342,356,2728,424,4873
"Dysosmobacter sp910575815",846,5143,1473,11487,1960,23275
"Dysosmobacter sp910579365",132,1319,273,15703,1018,7454
"Dysosmobacter sp910587705",159,2005,595,1731,11244,1394
"Dysosmobacter sp910586735",1060,12610,460,50983,2050,34161
"Dysosmobacter sp910585385",133,2636,882,29574,3448,14166
"Dysosmobacter sp022791875",453,1166,532,2559,923,2526
"Dysosmobacter sp910583695",73,1179,242,4345,486,2386
"Dysosmobacter sp000403435",438,7017,1254,38676,1903,15795
"Dysosmobacter sp022791135",125,4987,1278,8358,692,3935
"Dysosmobacter sp910588175",204,4816,264,8602,921,4421
"Dysosmobacter sp022795445",64,601,100,4092,1443,3258
"Dysosmobacter sp910575505",251,1673,557,7060,813,4989
"Dysosmobacter sp009773995",87,1237,204,1857,401,2028
"Dysosmobacter sp022801815",85,2386,127,3452,426,1960
"Dysosmobacter sp910577405",90,642,159,4333,2472,2130
"Dysosmobacter sp910578935",169,1383,428,1874,429,1865
"Dysosmobacter sp910576865",132,1493,408,2150,385,2035
"MGYG000330291",105,1013,176,8382,404,3543
"MGYG000409008",94,2114,152,1703,431,1829
"Dysosmobacter sp910589315",153,2007,187,915,214,1615
"Dysosmobacter sp910587525",93,777,194,2026,460,1265
"Dysosmobacter sp910587875",33,962,81,928,189,773
"Dysosmobacter sp910584995",176,661,216,2087,134,8748
"Dysosmobacter sp910579435",66,1143,121,1081,244,1124
"MGYG000411389",30,356,176,998,154,783
"MGYG000325877",11,295,27,352,59,331
"Dysosmobacter sp910584075",32,640,60,3453,618,1100
"Dysosmobacter sp910585245",20,372,59,1156,94,634
"MGYG000373829",21,246,102,353,53,285
"Dysosmobacter sp910584465",18,203,49,408,52,360
"MGYG000330443",22,101,94,575,121,615
"MGYG000326793",23,178,64,559,86,425
"Dysosmobacter sp910576845",19,268,51,354,62,305
"MGYG000329180",26,357,46,571,92,469
"Pelethomonas sp910578505",189,9260,202,24168,904,6465
"Pelethomonas sp910579965",590,14329,1836,43642,6435,23366
"Pelethomonas sp910579485",1347,8895,1943,27763,2485,54277
"Pelethomonas sp910587785",269,2513,486,19414,2757,8509
"Pelethomonas sp022800665",104,1194,540,20189,4489,6404
"Pelethomonas sp009774055",432,10041,5905,15859,1053,7084
"Pelethomonas sp022804995",439,2334,2107,2798,367,5175
"Pelethomonas sp014237695",425,17187,9180,6813,1015,10150
"Pelethomonas sp022795905",312,1849,3552,2659,442,2899
"MGYG000326866",145,1444,262,3983,754,2364
"Pelethomonas sp910583885",112,809,419,1640,437,1443
"Pelethomonas sp910588365",251,7610,837,16756,787,6533
"MGYG000410776",50,433,151,574,105,659
"Pelethomonas sp910587645",62,553,207,858,172,840
"Pelethomonas sp022800525",33,406,104,1055,64,390
"Pelethomonas sp910588045",29,277,114,495,68,498
"MGYG000325557",12,136,44,255,53,164
"Pelethomonas sp910579725",90,731,264,1391,233,1279
"Pelethomonas sp910577915",41,339,116,434,77,393
"Pelethomonas sp910587505",30,340,121,595,148,533
"MGYG000325617",35,200,106,445,85,451
"Evtepia sp910584805",356,3551,2038,642,70,1826
"Evtepia sp022792035",58,296,94,152,44,187
"Evtepia sp910578575",16,108,54,58,15,116
"Marseille-P3106 sp022799035",397,1597,1332,545,37,1441
"Marseille-P3106 sp910587345",334,2030,976,1833,325,2580
"Marseille-P3106 sp910588975",3372,10752,3249,3851,150,24120
"MGYG000410458",937,3671,719,431,21,3385
"Marseille-P3106 sp910585735",1175,1217,321,2162,133,5515
"Marseille-P3106 sp022792495",144,1002,424,831,66,899
"Marseille-P3106 sp022794215",1024,3554,413,424,15,3149
"Marseille-P3106 sp022800215",1245,6475,1625,4902,136,7831
"MGYG000326975",0,28,45,0,0,0
"NSJ-51 sp910585415",3004,6093,10129,2693,450,12895
"MGYG000326314",56,2479,1660,1075,267,615
"MGYG000325278",432,5339,446,1866,326,2126
"CAJFPI01 sp022801715",45,771,145,2378,872,2995
"MGYG000327336",26,130,43,130,24,152
"MGYG000328896",45,1443,187,4448,555,3859
"MGYG000329428",363,1989,816,2229,103,4885
"MGYG000329835",172,929,635,312,27,1171
"MGYG000410456",72,768,1251,644,384,1477
"CAKUEI01 sp022793685",952,4521,2597,1031,28,1861
"Avoscillospira_A sp022792945",45,670,144,399,68,381
"JAAWCD01 sp022793095",48,518,302,861,174,1032
"Acutalibacter sp910588935",213,1094,2216,903,465,568
"Acutalibacter sp009936035",1406,6343,2594,3319,234,5013
"Acutalibacter sp910589395",7185,2136,6450,161,24,8800
"Acutalibacter sp910574935",1870,3972,979,1442,331,3344
"Acutalibacter sp009917445",218,632,372,445,236,1206
"Acutalibacter muris",1147,4901,422,2400,657,3430
"Acutalibacter sp910587835",222,1392,1617,627,139,1507
"MGYG000406378",155,512,162,262,30,537
"Acutalibacter sp009917525",13,609,38,251,50,67
"MGYG000328916",27,265,24,152,33,91
"Acutalibacter sp910574995",91,377,140,462,92,514
"Acutalibacter sp910580045",45,139,47,64,28,140
"Acutalibacter sp003612555",1352,1332,115,205,155,1918
"Acutalibacter sp910587995",20,93,31,71,15,86
"Acutalibacter sp910588415",21,31,20,55,11,62
"Acutalibacter sp910584745",38,166,62,208,110,413
"MGYG000330157",16,51,27,58,23,80
"MGYG000331301",0,29,21,39,0,50
"MGYG000410931",18,13,0,0,0,17
"MGYG000328573",0,33,15,17,0,25
"Acutalibacter stercorigallinarum",0,0,0,0,0,0
"Eubacterium_R sp011958665",2815,10877,3232,4250,161,5488
"MGYG000337810",96,276,299,136,0,105
"MGYG000379997",110,273,272,92,426,68
"MGYG000351739",128,336,228,75,63,126
"MGYG000410251",85,655,102,106,57,193
"MGYG000373138",1897,4338,230,140,86,3102
"MGYG000327182",25,58,14,20,0,73
"Ruthenibacterium sp013316265",35,108,41,93,21,111
"Ruminococcus sp910584195",4978,5278,8622,3390,11078,1910
"Angelakisella sp910585525",652,6956,3204,4066,1882,8860
"Angelakisella sp022795575",2211,5433,16990,11726,2475,22538
"Angelakisella sp910585535",868,1973,5680,10515,755,16097
"Angelakisella sp013316495",66,579,1400,7631,3338,3976
"Ruminiclostridium_E sp910588335",2562,16037,2084,4689,170,13052
"MGYG000410125",843,1120,1431,549,52,383
"Ruminiclostridium_E sp910585505",333,2273,341,702,606,1932
"UBA1405 sp022800935",144,2561,886,6423,1335,8396
"MGYG000331296",0,19,11,49,10,42
"MGYG000410015",55,259,88,185,32,269
"UBA1394 sp910588145",68,162,10,151,0,44
"Anaerotruncus sp000403395",160,10145,983,2083,1498,2030
"Anaerotruncus sp003612625",78,611,266,1021,265,731
"Anaerotruncus colihominis_A",14,76,49,130,17,162
"Anaerotruncus sp910586875",143,1384,358,405,140,635
"MGYG000410574",83,88,56,50,0,105
"UBA3818 sp910583935",615,2454,2068,541,73,1930
"JAAVYW01 sp022791315",139,1069,848,149,39,700
"Faecivivens sp022793675",106,446,548,392,147,1229
"RGIG8773 sp910584715",138,371,222,187,20,149
"QXXE01 sp009911355",10448,18037,23414,3437,4078,12672
"QXXE01 sp910586575",425,1216,1539,1599,1129,2343
"MGYG000327912",3346,8996,10430,2514,927,2887
"Butyricicoccus sp910584935",15,170,10,1006,936,144
"Pseudobutyricicoccus sp910579575",86,568,413,404,165,620
"MGYG000349368",0,0,0,0,0,0
"Avispirillum sp011957885",41,539,212,650,10,537
"MGYG000401352",0,52,0,73,0,28
"Zhenpiania sp009911365",53,73,70,45,16,51
"Zhenpiania sp910575405",109,430,255,281,53,295
"Emergencia sp009936045",162,791,529,276,0,442
"JAAVYD01 sp022790955",65,268,109,58,0,304
"Fimisoma sp910588185",78,561,110,89,14,150
"MGYG000410140",12,32,0,55,0,115
"MGYG000323026",0,0,0,0,0,0
"Coproplasma sp910579525",950,1863,2326,1796,761,1077
"Coproplasma sp003979335",90,279,303,399,219,227
"Coproplasma sp013316055",545,1761,2406,19793,17607,7031
"Coproplasma sp910577375",742,1227,4959,35025,12603,11917
"Coproplasma sp910586065",227,1513,540,3059,372,381
"MGYG000328913",0,33,140,957,3122,295
"Coproplasma stercorigallinarum",0,0,0,0,0,0
"MGBC120929 sp910583735",95,87,700,922,162,900
"RACS-045 sp910579785",57,2187,1426,32013,37456,550
"QANA01 sp910588425",610,1506,851,952,48,1364
"MGYG000324257",103,910,954,3343,5768,561
"HGM11386 sp022791055",176,1917,2632,2654,1311,556
"RACS-047 sp013316045",0,10,0,281,0,0
"CAG-475 sp910577815",99,401,278,14422,24883,1145
"MGYG000328446",392,4696,1627,344,60,626
"Caccovivens sp910587225",0,11,0,0,0,0
"CAG-41 sp910578235",32,1356,90,59,50,45
"MGYG000410260",0,13,0,0,0,0
"MGYG000335786",15,547,52,1017,0,28
"MGYG000349464",14,18343,908,37684,180,89
"CAG-269 sp022792395",87,42,105,21,0,107
"MGYG000328872",0,276,56,329,11,0
"MGYG000327552",1261,4391,277,3361,95,2490
"RGIG8482 sp022796855",39,176,73,187,25,83
"JAAWPK01 sp022791735",317,998,418,800,103,518
"MGYG000375192",779,1609,941,1272,60,1482
"MGYG000323824",0,12,0,0,0,0
"Akkermansia muciniphila_B",78,1028,527,0,13980,77
"Akkermansia sp001580195",29,225,136,0,3495,25
"Parasutterella sp009767915",13563,23008,19232,12924,196692,13302
"Turicimonas muris",5364,14760,9767,8006,1800,6708
"MGYG000326933",0,0,0,0,0,0
"Enterobacter hormaechei_A",49,66,47,0,2653,28
"Methylobacterium persicinum",23,42,75,15,0,28
"MGYG000329730",0,0,0,0,0,0
"MGYG000360301",139,299,305,57,69,93
"Enterousia sp013316395",916,8663,731,5714,466,241
"MGYG000410936",3099,27754,5055,12215,1045,2480
"Scatocola sp910577205",222,549,1086,2407,478,37
"MGYG000327352",1545,1366,1922,2448,1715,85
"MGBC118957 sp910584385",45,121,94,43,1245,22
"MGYG000391024",5269,18981,10591,4438,373,6325
"MGYG000323059",1568,5811,4432,887,38,1679
"MGYG000328709",3159,21609,7996,8379,1048,2897
"MGYG000411523",2390,9558,5430,1299,104,2078
"MGYG000331169",2098,9714,5886,2803,86,1740
"Nanosyncoccus sp003979185",803,2606,2473,568,32,1009
"MGYG000344322",665,1335,1319,2201,1142,1319
"Nanosyncoccus sp013316435",511,1433,3013,524,50,613
"MGYG000348936",585,1571,1065,570,1389,445
"MGYG000341210",208,703,425,169,11,257
"MGYG000331839",64,383,352,107,119,81
"MGYG000328091",36,233,115,50,0,29
"Avidehalobacter sp022797295",2051,5402,5115,7058,700,16285
"Avidehalobacter sp021771915",54,167,139,278,31,630
"MGYG000410378",80,322,159,382,50,445
"MGYG000411020",1229,1412,2413,4486,6121,650
"MGBC122484 sp910587245",47,591,215,21861,7020,287
"MGBC122484 sp910586855",48,528,88,25943,4851,215
"MGBC122484 sp910578465",44,164,75,6568,3616,239
"MGBC122484 sp910587815",59,98,55,3001,71,366
"Megamonas funiformis",0,0,0,0,0,0
"MGYG000325548",135,212,219,72,13,102
"UBA1436 sp910576915",0,0,0,0,0,0
"MGYG000331077",17,73,26,48,337,85
"MGYG000324324",0,50,0,363,79,105
"MGYG000333766",10,30,0,200,36,63
"UBA3282 sp910578115",245,888,369,842,106,1749
"Anaerostipes hominis",0,15,0,0,0,12
"Bacteroides thetaiotaomicron",111,4025,394,723,709,88
"C-19 sp910576345",108,70,30,28,0,289
"MGYG000327462",0,0,0,0,0,0
"MGYG000410493",171,1187,300,489,55,576
"Allobaculum sp910579655",0,0,0,0,0,0
"MGBC163490 sp910588075",83,119,136,23,0,14
"Limosilactobacillus urinaemulieris",0,0,0,0,0,0
"Lactiplantibacillus plantarum",124,222,315,69,50,73
"Enterococcus_D gallinarum",0,0,0,0,101944,0
"Lactococcus lactis",0,0,0,0,0,0
"Granulicatella adiacens",0,14,0,0,0,12
"Scybalousia sp910584255",0,12,0,0,0,13
"CAG-710 sp000432595",0,0,0,0,0,0
"MGYG000325543",12,20,10,0,0,23
"MGYG000326942",0,0,0,0,0,0
"Paratractidigestivibacter sp003150175",0,0,0,0,0,0
"Collinsella stercoris",0,0,0,0,0,0
"Collinsella sp900545445",0,0,0,0,0,0
"Collinsella sp002232035",0,0,0,0,0,0
"MGYG000330890",0,0,0,0,0,0
"Cutibacterium acnes",0,18,18,0,0,0
"MGYG000325467",45,94,104,44,60,40
"MGYG000325647",22,67,60,18,79,27
"MGYG000325468",27,46,66,32,16,20
"MGYG000325561",25,34,40,24,20,16
"CAG-873 sp014801485",25,41,45,18,66,13
"MGYG000325408",29,41,48,17,17,21
"CAG-873 sp910579605",39,81,113,53,63,14
"CAG-485 sp014802175",66,73,85,17,96,40
"CAG-485 sp014801875",42,45,50,28,76,19
"CAG-485 sp014803765",78,75,104,28,65,28
"MGYG000325797",88,109,106,58,63,41
"MGYG000325348",128,199,250,102,14,70
"MGYG000325391",52,88,114,24,46,53
"MGYG000325606",90,108,141,35,89,30
"MGYG000325480",46,85,72,26,17,18
"CAG-485 sp014800535",25,46,49,16,39,14
"CAG-485 sp014801585",52,99,110,51,67,35
"MGYG000325583",26,62,51,22,36,27
"MGYG000325430",25,46,28,19,28,16
"MGYG000325719",58,84,115,26,133,27
"MGYG000325338",67,100,125,46,179,51
"MGYG000325306",26,73,67,19,53,14
"MGYG000325603",67,102,110,53,118,54
"UBA3263 sp014802435",13,18,23,0,10,12
"MGYG000325316",46,71,83,50,124,57
"MGYG000325659",33,55,66,33,14,26
"MGYG000325628",0,42,33,20,18,13
