"","SLC_SMT_NEG_91J","SLC_SMT_NEG_142J","SLC_SMT_NEG_152I","SLC_SMT_NEG_90I","SLC_SMT_NEG_109I","SLC_SMT_NEG_160I","SLC_SMT_NEG_144I","SLC_SMT_NEG_156I","SLC_SMT_NEG_191I","SLC_SMT_NEG_152J","SLC_SMT_NEG_109J","SLC_SMT_NEG_153I","SLC_SMT_NEG_110I","SLC_SMT_NEG_158I","SLC_SMT_NEG_192I","SLC_SMT_NEG_160J","SLC_SMT_NEG_191J","SLC_SMT_NEG_155I","SLC_SMT_NEG_103I","SLC_SMT_NEG_159I","SLC_SMT_NEG_193I","SLC_SMT_NEG_153J","SLC_SMT_NEG_110J","SLC_SMT_NEG_17I","SLC_SMT_NEG_101I","SLC_SMT_NEG_137I","SLC_SMT_NEG_103J","SLC_SMT_NEG_159J","SLC_SMT_NEG_193J","SLC_SMT_NEG_88I","SLC_SMT_NEG_18I","SLC_SMT_NEG_141I","SLC_SMT_NEG_17J","SLC_SMT_NEG_101J","SLC_SMT_NEG_197I","SLC_SMT_NEG_91I","SLC_SMT_NEG_15I","SLC_SMT_NEG_142I","SLC_SMT_NEG_18J","SLC_SMT_NEG_194I","SLC_SMT_NEG_89I","SLC_SMT_NEG_16I","SLC_SMT_NEG_143I","SLC_SMT_NEG_141J","SLC_SMT_NEG_194J","SLC_SMT_NEG_75I","SLC_SMT_NEG_89J"
"MGYG000329046",51,17,0,0,0,16,0,89,0,0,0,0,21,153,0,0,0,0,0,0,0,0,0,0,0,59,0,0,15,0,57,0,0,0,0,45,0,0,194,0,17,20,0,0,0,278,81
"MGYG000331189",50,245,17,10,177,85,0,0,153,0,178,0,42,0,38,0,55,0,110,0,476,82,126,0,40,20,199,0,611,41,0,499,12,67,42,271,0,0,0,0,99,0,16,371,0,10,43
"Mammaliicoccus lentus",18,0,0,10,0,0,0,204,0,0,0,0,35,41,0,0,36,0,0,0,79,0,84,0,0,132,1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169
"Staphylococcus xylosus",13,0,0,0,71,0,0,25,41,0,607,0,0,0,78,0,27,12,0,0,45,0,0,0,0,0,34,0,34,0,0,16,0,0,0,37,0,0,0,0,0,0,0,88,14,38,0
"MGYG000410805",15,0,17,0,0,12,0,124,11,0,0,12,11,29,0,0,30,0,0,0,44,10,29,0,0,79,693,0,13,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,35
"Desulfovibrio sp910575755",2259,3691,144,264,3220,2609,541,212,5241,0,4729,185,30702,5731,247,202,1775,0,24019,10,5677,741,1454,68,726,1347,4423,86,9257,195,373,1769,178,6049,2201,9306,84,310,2130,0,8916,684,102,6748,0,2575,500
"Desulfovibrio sp910587035",421,513,20,61,684,516,177,28,1157,0,557,39,4038,1116,71,66,458,0,3236,0,902,208,229,15,194,308,623,33,1380,42,48,291,48,1644,454,1533,19,107,317,0,1987,195,29,1298,0,382,73
"Desulfovibrio sp910584445",137,216,0,15,215,145,37,14,301,0,259,16,1715,389,10,0,114,0,1387,0,252,33,93,0,44,80,196,0,466,0,30,82,0,361,157,491,0,11,121,0,551,75,10,327,0,183,19
"MGYG000325668",18,17,0,0,19,0,0,0,22,0,24,0,86,22,0,0,0,0,83,0,25,0,0,0,0,0,14,0,24,0,0,0,0,23,0,41,0,0,0,0,66,0,0,22,0,10,0
"Desulfovibrio sp900556755",17,21,0,0,29,23,0,0,43,0,26,0,176,61,0,0,15,0,148,0,16,0,0,0,0,0,15,0,40,0,0,0,0,48,18,37,0,0,17,0,71,13,0,23,0,17,0
"Desulfovibrio sp905215675",15,23,0,0,29,28,0,0,33,0,22,0,181,36,0,0,19,0,120,0,20,0,0,0,10,0,13,0,22,0,0,0,0,54,11,39,0,0,0,0,109,0,0,19,0,14,0
"MGYG000325515",13,14,0,0,20,21,0,0,30,0,35,0,146,42,0,0,17,0,108,0,37,0,0,0,0,12,19,0,46,0,0,0,0,33,13,38,0,0,10,0,60,0,0,30,0,14,0
"Bilophila sp910585945",2091,3631,11,41,8438,2646,74,40,6258,0,3151,32,7450,508,437,373,561,0,2638,0,11027,269,185,72,318,135,361,0,10099,285,31,5443,209,1844,887,8083,0,227,205,0,1087,73,350,15518,0,251,37
"Bilophila faecipullorum",42,75,0,0,62,42,0,0,102,0,76,0,525,131,0,0,36,0,442,0,94,11,22,0,15,24,74,0,149,0,0,28,0,93,49,142,0,0,59,0,168,0,0,116,0,55,0
"Bilophila sp902373525",15,37,0,0,37,35,0,0,84,0,26,0,229,73,0,0,32,0,207,0,68,14,12,0,12,18,42,0,118,0,0,27,0,106,27,86,0,10,29,0,108,17,0,69,0,30,11
"Mailhella sp910579055",833,1261,77,97,1316,899,195,80,1692,0,1366,69,10100,2044,86,66,585,0,8558,13,1582,266,545,26,261,434,1210,35,2492,51,125,488,48,1964,743,2896,29,117,653,0,3609,289,34,2126,0,838,121
"Mailhella excrementigallinarum",59,135,0,0,82,82,16,17,96,0,96,0,693,218,0,0,35,0,564,0,101,15,39,0,27,64,94,0,177,12,17,78,0,150,58,229,0,15,67,0,225,25,0,233,0,89,13
"MGYG000399267",329,525,26,27,459,304,57,21,568,0,534,33,3887,698,31,14,172,0,3108,0,562,68,175,0,94,162,395,12,887,30,54,141,15,631,280,1017,0,33,247,0,1120,102,0,677,0,313,45
"MGYG000410288",35,50,0,0,51,41,13,0,78,0,66,0,383,89,0,0,31,0,272,0,48,18,0,0,0,14,36,0,91,0,0,20,0,80,14,141,0,0,19,0,189,15,0,88,0,32,0
"Schaedlerella sp910589385",22345,215,429,3157,38972,217,7680,4132,12700,91,80858,1286,2935,101,7044,22,4540,268,1357,75,7513,25750,909,2055,3118,118,742,2122,5031,25245,104,18,6088,10248,2860,92453,45,18,199,0,154999,52,24,81,0,133,75242
"Schaedlerella arabinosiphila",1114,72319,288,197,2982,4434,392,611,4605,46,4469,299,4761,1671,583,622,1367,327,2664,25,41112,1200,1096,174,1093,1002,1541,121,19926,1333,1060,85,370,2244,722,5023,600,4118,2166,35,7160,403,1421,190,33,1378,1548
"Schaedlerella sp009911175",1079,4824,1762,143,1624,3800,348,1114,5709,199,3005,1617,19137,467,274,500,1949,1029,21366,23,33488,1092,4982,535,5356,332,8738,45,20394,1651,8483,60,313,9492,5572,4771,2606,264,19370,0,5527,3980,109,222,0,12252,2329
"MGYG000410694",650,448,24,101,1100,48,196,130,453,0,1961,52,415,66,205,0,177,22,228,0,1239,558,67,42,153,43,100,31,734,579,54,22,136,412,99,2790,28,25,120,0,3651,41,65,63,0,94,1204
"Schaedlerella sp000403295",664,5923,174,107,1253,792,322,1221,1301,15,2444,177,1947,118,260,106,571,172,1994,42,6192,943,487,107,827,86,973,84,3061,876,804,18,231,1599,559,2640,413,288,1749,0,4745,472,135,57,0,1017,2139
"Schaedlerella sp910574865",530,31327,40,30,3143,1612,52,194,8175,0,3711,545,1767,647,208,515,1799,50,301,12,197814,830,572,110,775,405,323,11,130333,346,17163,220,191,1603,82,1655,1090,834,38271,368,541,11973,364,929,28,30769,163
"Schaedlerella sp910574195",248,227,54,21,453,63,59,285,487,0,1153,37,246,172,59,17,223,17,237,0,1452,78,68,18,94,117,146,17,1274,59,36,37,29,156,173,760,0,12,77,0,474,47,33,129,0,87,140
"Schaedlerella sp943193195",149,326,0,0,96,43,42,2177,166,0,242,12,236,77,11,0,55,0,180,57,873,57,109,0,109,47,135,144,573,13,47,18,14,281,27,360,15,16,52,0,197,18,23,51,0,66,177
"Schaedlerella sp009774255",98,840,87,16,211,293,40,531,368,14,402,119,1106,74,41,45,181,56,1092,20,1488,136,230,26,407,71,407,40,848,121,400,0,40,691,249,309,181,56,824,0,539,266,46,22,0,623,301
"MGYG000328305",83,221,23,22,198,38,37,1453,280,0,562,38,239,363,44,0,116,18,205,19,601,111,56,15,84,446,388,41,475,54,89,18,39,176,47,237,17,0,217,0,391,64,14,52,0,195,276
"MD308 sp910575105",20951,579,1552,1678,5240,5700,2188,297,13669,205,13489,1542,22076,302,525,843,2677,283,11690,11,49787,5419,7308,436,13230,251,8401,41,37464,3368,2658,200,1549,35548,3335,17551,2304,26,4078,0,18478,1911,49,615,0,6580,21477
"MD308 sp010206225",3224,75389,3079,183,12777,3992,282,4134,13536,96,32203,2088,9748,40569,1224,660,2770,129,1222,745,53146,2893,2353,509,2716,40493,665,1088,53779,3930,11958,74095,1123,6941,7134,7129,1738,3802,28211,17,3891,5288,3691,241620,0,17195,391
"MGYG000323047",119,2069,61,11,469,150,13,294,477,0,1058,47,386,1143,55,37,116,0,110,38,1862,86,97,13,141,1140,66,56,1685,108,336,2072,39,349,189,224,81,131,769,0,105,213,167,6807,0,540,17
"MD308 sp000403475",83,350,0,0,125,34,15,207,163,0,286,19,166,259,17,0,55,0,91,12,823,38,49,0,112,188,75,19,520,40,36,45,24,254,12,164,19,20,96,0,89,14,32,132,0,67,106
"MGYG000326632",79,70,0,0,62,47,21,38,108,0,82,13,151,38,0,0,17,0,55,0,252,44,26,0,129,39,56,0,188,26,12,30,13,331,13,99,12,0,32,0,158,15,0,72,0,30,140
"MD308 sp910578455",78,195,18,0,102,32,0,545,98,0,181,115,84,83,22,0,29,0,20,0,335,402,21,56,35,75,35,36,235,365,29,99,166,96,35,227,0,0,53,0,221,13,11,327,0,32,90
"MD308 sp910586965",54,116,0,0,77,14,0,242,84,0,118,13,64,148,13,0,20,0,26,0,198,58,18,0,29,133,20,14,203,40,25,95,14,79,16,158,0,0,60,0,218,12,12,272,0,36,69
"MD308 sp910584615",30,327,0,0,76,18,0,55,69,0,167,0,71,137,0,0,28,0,21,0,217,16,15,0,29,158,14,0,228,18,59,279,0,86,24,19,15,16,98,0,43,34,19,853,0,70,38
"MGYG000410877",25,58,0,0,23,16,10,58,44,0,44,0,32,40,0,0,13,0,26,0,150,0,23,0,27,25,17,0,83,0,15,42,0,73,15,25,0,0,28,0,31,17,0,122,0,17,34
"MGYG000324148",2054,7527,0,255,868,27,916,733,1416,0,1363,13,240,174,265,0,516,0,189,37,10291,33,274,0,430,131,122,75,4966,16,20,0,15,760,0,10357,0,491,22,0,2502,17,1731,16,0,461,938
"Sporofaciens sp910574715",3240,25942,319,355,15917,1977,712,107746,5627,0,34953,398,20720,2237,2439,309,2169,40,16784,3634,94917,620,8026,139,9312,1273,9119,7945,50115,616,5944,207,199,16324,493,11657,1148,1933,11942,0,4955,7322,3077,600,0,26677,1941
"Sporofaciens sp910579015",1246,3836,109,126,6122,1489,350,797,1254,0,10110,477,3732,794,846,401,311,23,3324,22,31133,2095,3558,323,3080,695,2411,83,14844,3922,64,10,738,5307,169,3570,0,241,119,0,2965,20,277,17,0,77,1342
"MGYG000353267",974,15261,86,138,4112,173,288,30579,1396,0,7639,97,6855,134,665,22,483,18,6194,1326,17263,163,2832,44,3378,81,2954,3077,9496,153,196,47,70,4878,132,3390,51,1595,503,0,2050,291,867,88,0,818,456
"Sporofaciens sp910575835",880,5619,158,176,3257,342,360,41684,1515,0,5948,215,3049,3464,616,68,629,94,2423,1228,14423,641,1024,99,1440,1947,1173,2680,7845,754,525,140,205,2593,184,3441,104,390,1222,0,4469,417,510,422,0,1642,930
"Sporofaciens musculi",415,1936,94,60,858,120,110,1991,506,0,1565,92,823,825,122,19,176,29,546,59,1927,322,267,38,297,524,374,136,1362,277,218,274,92,534,91,1300,51,92,399,0,1762,116,65,796,0,433,688
"Sporofaciens sp009774295",350,1234,29,69,896,82,134,1002,1335,0,1730,65,623,495,143,14,630,33,409,41,1956,215,227,27,301,241,263,84,1186,262,78,63,79,565,66,1211,27,82,124,0,1415,65,101,278,0,195,507
"Sporofaciens sp910574885",186,1481,64,40,488,85,42,1406,722,37,1100,107,398,627,68,26,234,38,293,44,2912,235,115,14,173,333,218,114,2504,182,77,116,67,345,64,746,24,148,164,28,731,49,149,402,0,172,493
"Sporofaciens sp000403455",84,35191,37,19,685,840,47,4602,214,0,1182,167,1223,44101,96,249,91,144,963,182,2847,151,643,54,933,40064,756,374,1617,304,3529,242,85,1987,41,311,291,1943,8340,0,168,439,1405,456,0,3032,91
"Sporofaciens sp910577685",67,216,29,0,109,76,15,544,121,0,298,30,308,107,16,0,64,0,283,10,448,66,84,12,137,73,125,35,278,57,111,0,22,258,87,162,31,20,226,0,186,67,22,28,0,172,126
"Sporofaciens sp910587575",57,223,17,0,97,34,11,323,82,0,164,16,139,104,19,0,30,0,105,0,408,24,42,0,86,60,73,33,272,0,28,31,0,168,20,130,19,16,64,0,92,17,28,109,0,50,82
"Sporofaciens sp910585725",40,257,0,0,4179,0,0,565,29204,0,11917,0,359,96,777,0,9673,0,236,17,2261,13,114,0,136,75,145,51,1479,0,0,0,0,274,0,154,0,17,24,0,51,0,54,26,0,18,28
"Sporofaciens sp910579925",23,134,0,0,59,0,0,311,42,0,77,0,40,109,0,0,10,0,28,0,185,17,30,0,29,63,25,28,122,0,12,0,0,51,0,28,0,17,31,0,72,0,18,0,0,27,34
"MGYG000402809",10,65,0,0,32,0,0,263,37,0,58,0,22,80,0,0,10,0,21,0,205,0,19,0,20,80,17,15,157,0,10,0,0,31,0,35,0,0,16,0,20,0,15,0,0,19,11
"UBA11957 sp910588295",8431,53,161,328,35,355,324,76,119,38,79,566,7502,88,0,37,59,21,3956,0,241,514,2547,152,5294,21,3560,0,189,3166,0,13,406,9636,198,13238,11,0,16,0,2966,13,0,18,0,22,1881
"MGYG000410400",71,56,0,0,192,10,11,75,3331,0,545,0,77,19,15,0,530,0,46,0,20033,0,37,0,55,0,46,0,12788,36,0,10,0,142,0,124,0,0,0,0,44,0,0,32,0,0,25
"Choladocola sp009774135",5021,275,856,418,232,39,254,164,216,146,282,29,109,229,49,0,72,19,31,13,915,87,18,20,82,141,43,14,482,83,29,149,28,169,745,16388,10,19,70,0,842,26,13,488,0,71,752
"Choladocola sp910583615",697,3006,3809,424,1346,717,221,3484,2517,876,2993,3119,1668,2595,213,37,1302,229,1177,72,2543,1044,479,124,442,631,654,49,2674,691,388,629,305,382,2001,2713,128,233,728,11,1251,427,81,1234,0,1230,830
"Choladocola sp910585995",315,13,76,64,84,105,32,16,97,17,113,35,61,0,0,15,14,70,81,0,569,21,14,12,12,0,196,0,331,24,0,0,0,12,150,1531,0,0,0,0,892,0,0,11,0,0,2766
"Choladocola sp009774145",272,590,71,36,327,546,30,138,495,36,645,69,681,193,92,94,178,17,204,0,1226,673,308,23,296,279,539,0,999,133,65,50,169,829,296,1853,59,43,136,0,219,66,83,171,0,385,168
"Choladocola sp910584945",123,49,0,14,84,94,0,93,132,12,214,14,16,35,13,22,48,0,15,0,1200,32,0,0,13,43,0,0,667,36,0,0,14,24,15,587,0,0,10,0,93,0,0,0,0,13,106
"Choladocola sp910579225",97,214,0,0,36,0,0,0,29,0,53,0,0,0,0,0,0,0,0,0,153,0,0,0,10,10,0,0,91,0,0,0,0,11,10,314,0,13,0,0,0,0,0,35,0,0,0
"Choladocola sp910584205",102,279,161,18,185,33,0,117,119,34,343,87,126,175,16,0,71,15,93,0,1235,40,29,0,51,61,57,0,475,63,12,30,23,69,93,384,14,16,42,0,92,25,0,88,0,62,38
"Choladocola sp910574965",70,2461,81,22,1475,36,0,6131,974,21,3530,60,177,3998,103,0,431,11,57,320,5707,34,0,0,33,8696,50,260,2596,67,2021,52,16,63,87,267,374,117,3090,0,88,1214,199,269,0,3573,104
"Choladocola sp910575445",55,2042,30,0,408,23,0,102,195,0,1144,29,154,229,20,0,92,0,56,0,867,31,36,14,65,129,72,0,738,36,26,0,0,82,42,226,0,67,66,0,100,18,50,36,0,52,104
"Choladocola sp910583895",29,35,0,0,29,12,0,132,16,0,43,0,30,59,0,0,0,0,25,0,72,10,0,0,12,41,20,0,56,0,18,0,0,13,0,79,0,0,26,0,43,0,0,0,0,24,15
"Choladocola sp009774155",24,116,0,0,47,42,10,70,41,0,86,0,42,13,0,0,17,0,40,0,140,18,0,0,22,0,31,0,102,11,0,0,0,56,0,73,0,0,0,0,98,0,0,0,0,0,51
"Choladocola sp910587495",17,34,12,0,20,48,0,27,33,0,47,13,156,14,0,10,11,0,184,0,84,13,34,0,71,17,76,0,39,18,55,0,0,135,31,52,32,0,155,0,61,20,0,0,0,106,37
"Choladocola sp910585465",16,28,0,0,41,43,0,41,29,0,48,0,20,27,0,0,16,0,0,0,76,29,0,0,24,13,15,0,55,20,0,0,0,28,0,52,0,0,0,0,91,10,0,10,0,15,40
"Choladocola sp910587765",12,15,0,0,0,10,0,0,0,0,12,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,16,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0
"MGYG000392954",3089,651,422,139,2083,44,431,153,2369,37,4482,218,384,11,166,0,765,22,262,0,3666,1651,111,152,131,11,152,15,3393,672,25,0,396,202,747,11574,19,29,81,0,4336,12,87,17,0,146,605
"Lachnoclostridium_B sp910584095",895,1917,86,58,609,1572,99,423,1943,0,962,153,548,548,341,163,830,46,199,41,3295,2041,842,112,473,366,680,41,3749,704,106,633,365,1220,591,4918,142,135,198,50,443,128,75,1869,24,468,275
"Lachnoclostridium_B sp910574185",331,12918,160,21,2727,303,99,567,4801,0,6311,229,13086,136,221,53,1820,0,8131,19,44141,263,3717,74,3569,82,4252,45,38813,303,1657,14,61,4733,504,1542,726,660,3889,0,595,1005,757,40,0,7373,141
"MGYG000331109",246,125,66,13,211,11,51,39,271,0,414,36,94,12,28,0,101,0,38,0,440,183,41,20,38,0,24,0,399,56,16,0,45,53,68,895,0,0,13,0,428,0,19,18,0,49,67
"Lachnoclostridium_B sp910584265",108,60,0,14,185,0,31,58,63,0,216,0,71,17,24,0,28,0,53,0,258,69,24,0,22,14,45,11,154,68,0,16,21,57,22,398,0,0,27,0,435,0,0,26,0,28,55
"Lachnoclostridium_B sp910588745",11,169,0,0,40,11,0,38,59,0,92,0,169,0,0,0,20,0,95,0,357,0,33,0,39,0,33,0,332,0,12,0,0,61,0,44,10,0,20,0,20,13,10,0,0,93,13
"Lachnoclostridium_B sp910589275",11,47,0,0,14,0,0,49,36,0,40,0,30,16,0,0,20,0,0,0,117,0,0,0,16,0,0,0,96,0,0,0,0,28,0,31,0,0,0,0,19,0,0,0,0,0,19
"MGYG000328855",1842,0,161,135,2883,1462,179,0,4033,13,12567,53,17,0,60,390,1685,89,0,0,20180,375,0,48,0,0,0,0,23953,275,0,0,435,12,267,1283,0,0,0,0,1340,0,0,0,0,0,1784
"MGBC164599 sp910588825",892,13,1081,95,1127,2153,116,49,3562,121,3677,132,2064,12,113,390,1627,118,583,0,19482,207,308,42,1149,0,1131,0,14014,194,0,0,266,2612,958,2049,0,0,0,0,728,0,0,12,0,0,1197
"MGBC164599 sp910575625",843,939,689,37,1046,340,89,245,3034,84,2943,264,353,827,116,62,863,385,235,15,3001,458,107,102,150,651,196,20,3565,321,147,373,557,330,599,2741,49,87,341,0,3491,95,54,1074,0,273,2196
"MGBC164599 sp910587105",68,44,71,12,91,196,0,147,325,12,234,0,166,0,0,36,127,0,38,0,1206,16,24,0,103,0,81,17,893,10,0,0,21,223,57,138,0,0,0,0,50,0,0,0,0,0,104
"MGBC164599 sp910588775",29,0,0,0,0,0,0,0,0,0,45,0,2553,0,0,0,0,0,662,0,26,47,229,0,256,0,740,0,33,23,0,0,21,730,0,51,0,0,0,0,291,0,0,0,0,0,267
"MGYG000330030",21,0,23,0,32,63,0,0,79,0,103,0,47,0,0,10,48,0,15,0,471,0,0,0,44,0,32,0,316,0,0,0,11,87,19,37,0,0,0,0,20,0,0,0,0,0,28
"MGYG000330180",10,28,0,0,18,0,0,17,27,0,28,0,17,15,0,0,0,0,14,0,85,0,0,0,15,13,0,0,52,0,0,0,0,37,0,17,0,0,0,0,12,0,0,0,0,0,0
"14-2 sp910588845",1237,20678,881,104,351,1694,27,42,369,156,1536,52,1928,137,23,544,186,13,841,0,2076,451,309,26,127,193,3244,0,1473,209,50,2677,154,259,1216,953,0,222,136,14,723,13,338,9647,0,70,4780
"14-2 sp910577785",389,12,0,39,598,0,11,17,512,0,1562,75,747,15,14,0,207,37,247,0,2100,113,110,16,256,0,560,0,4915,132,0,0,120,244,12,448,0,0,0,0,168,0,0,0,0,0,1575
"14-2 sp910576385",407,749,79,93,877,76,169,214,657,0,1174,79,270,211,170,0,256,71,171,0,2566,365,92,43,128,147,151,26,1669,465,37,123,134,265,117,1773,22,42,87,0,2664,38,51,391,0,121,493
"14-2 sp910575155",181,710,26,24,280,76,62,188,285,0,594,25,160,121,80,16,135,36,82,0,765,180,26,16,75,120,118,23,637,261,33,59,74,126,78,844,14,27,77,0,1051,17,31,168,0,94,277
"14-2 sp910575035",181,975,75,31,424,110,49,350,690,0,848,56,488,209,73,18,245,42,312,0,1597,158,154,21,187,170,226,30,1188,128,85,121,59,360,52,586,21,62,179,0,619,43,36,393,0,155,405
"14-2 sp011960065",170,781,91,20,315,238,39,444,479,0,654,74,683,624,43,35,192,34,468,21,1405,178,149,14,181,370,255,30,1186,109,155,184,46,332,149,434,65,53,345,0,461,113,40,444,0,398,285
"MGYG000409996",102,11,0,0,205,0,0,0,89,0,203,0,88,0,0,0,14,0,33,0,1344,21,14,0,51,0,13,0,608,20,0,0,0,102,0,301,0,0,0,0,37,0,0,0,0,11,21
"14-2 sp910588285",101,56,18,15,82,65,12,43,71,0,70,0,29,37,12,24,18,15,12,0,1122,29,12,15,12,29,11,0,451,69,0,13,21,25,18,667,0,0,18,0,85,0,0,26,0,20,85
"14-2 sp910575005",118,307,24,13,230,56,44,267,175,0,360,15,85,209,42,0,86,19,44,0,557,118,28,0,44,131,48,20,515,102,38,150,41,112,43,412,0,12,83,0,566,20,25,509,0,68,202
"14-2 sp910584585",69,113,0,18,139,14,40,82,91,0,167,0,86,24,29,0,49,18,55,0,246,62,24,0,67,19,32,0,155,44,0,0,25,102,13,224,0,14,13,0,404,12,0,39,0,16,111
"14-2 sp000403255",71,160,0,0,137,0,31,36,99,0,270,15,75,21,21,0,36,0,55,0,517,47,26,0,31,0,73,0,389,56,0,0,17,72,11,237,0,0,0,0,323,0,25,0,0,27,93
"MGYG000411355",52,73,0,0,51,30,0,97,186,0,153,17,64,24,0,0,63,671,111,0,659,29,11,0,16,18,701,0,586,26,385,0,10,33,10,170,98,0,763,0,45,64,0,0,0,366,479
"14-2 sp910583835",52,188,16,0,85,31,14,76,88,0,176,0,76,33,14,14,41,23,55,0,234,36,13,0,40,34,70,0,185,25,48,17,17,74,31,169,10,14,92,0,199,18,0,54,0,62,87
"14-2 sp910575075",48,199,0,0,94,25,13,37,192,0,207,0,61,13,19,0,62,16,58,0,367,36,30,0,41,18,41,0,307,34,0,15,0,85,13,128,0,15,17,0,104,0,11,78,0,10,44
"14-2 sp000403315",36,3442,13,0,1128,12,0,12,702,0,2495,0,95,18,112,0,239,0,56,0,12614,25,16,0,28,15,34,0,9435,36,24,21,0,54,11,69,11,0,38,0,22,12,1030,61,0,35,28
"14-2 sp009774455",34,300,15,0,33,77,0,144,33,0,78,0,84,147,0,0,14,10,41,0,153,38,13,0,30,71,57,0,122,23,19,80,11,39,17,60,0,18,84,0,76,12,11,204,0,80,85
"14-2 sp910589635",35,301,60,0,66,38,0,94,78,12,139,35,64,117,11,18,44,0,46,0,157,28,16,0,19,35,34,0,116,17,20,65,0,26,57,73,0,0,29,0,70,21,13,156,0,55,75
"14-2 sp910576975",26,93,0,0,42,23,0,65,69,0,57,10,55,0,0,0,30,0,27,0,514,11,0,0,15,0,16,0,275,0,0,0,0,44,0,68,0,0,12,0,27,0,0,10,0,22,15
"MGYG000411595",23,58,0,0,49,23,0,79,42,0,80,0,59,19,10,0,17,0,31,0,152,30,13,0,25,23,36,0,85,0,0,21,22,46,0,67,0,0,15,0,78,0,0,41,0,16,51
"MGYG000328404",16,209,10,0,11,23,0,0,16,0,47,0,23,0,0,11,15,0,14,0,16,0,0,0,0,0,42,0,20,0,0,16,0,0,12,20,0,0,0,0,16,0,0,119,0,0,62
"14-2 sp910578825",15,168,0,0,0,0,0,49,11,0,25,0,18,10,0,0,11,0,0,0,57,0,0,0,11,24,147,0,17,0,0,15,0,0,0,0,0,0,0,0,19,0,0,55,0,0,40
"MGYG000410992",16,267,0,0,30,17,0,26,34,0,51,0,29,11,0,0,0,12,23,0,150,15,0,0,0,11,34,0,76,0,0,17,0,28,0,46,0,11,0,0,63,0,10,34,0,0,37
"MGYG000324849",13,70,77,0,30,25,0,54,69,23,57,46,27,90,0,0,29,0,32,0,42,21,0,0,14,14,20,0,45,0,0,0,0,22,47,27,0,0,20,0,27,10,0,14,0,31,23
"14-2 sp000403845",12,31,0,0,25,0,0,26,10,0,50,0,13,0,0,0,0,0,0,0,29,14,0,0,0,0,13,0,24,10,0,0,0,16,0,21,0,0,0,0,66,0,0,18,0,0,42
"Eubacterium_F sp910574015",2785,322,33,226,4256,136,99,2466,7699,0,23299,1288,5222,134,505,42,4455,355,3394,47,11500,642,2175,114,939,83,13129,96,8666,1055,818,114,234,1956,73,4399,407,11,1414,0,908,1614,14,367,0,10110,1604
"MGYG000330978",89,27,0,0,165,0,24,81,104,0,311,0,42,28,27,0,49,0,24,0,267,96,11,0,27,21,65,0,188,66,0,0,36,77,0,271,0,0,0,0,613,10,0,0,0,49,162
"Eubacterium_F sp910575665",42,224,51,0,92,1041,0,94,112,0,227,81,107,169,0,227,46,44,50,0,306,896,23,30,36,108,107,0,241,62,26,59,254,105,66,120,20,15,54,0,108,22,0,138,0,74,95
"Eubacterium_F sp910585745",36,552,12,0,52,68,0,804,124,0,142,0,106,361,0,0,48,22,96,0,504,25,21,0,24,318,108,0,398,15,80,110,14,61,22,114,20,21,186,0,45,31,35,357,0,116,32
"MGYG000329322",26,274,29,0,223,106,0,66,479,0,607,53,113,129,21,18,182,0,52,0,1670,98,19,12,28,77,97,0,1565,104,37,92,45,61,17,122,17,20,68,0,76,18,16,254,0,138,51
"Eubacterium_F sp910579145",12,38,0,0,0,0,0,0,24,0,33,0,50,0,0,0,0,0,34,0,70,0,13,0,15,0,30,0,34,0,0,0,0,59,0,21,0,0,11,0,15,0,0,0,0,12,44
"Caccovicinus sp910585635",737,15,10,0,401,880,0,25,568,0,414,0,6575,12,12,319,91,0,7913,0,7565,0,688,0,330,12,6793,0,7633,0,0,0,0,433,56,1303,0,0,0,0,11,0,0,0,0,0,49
"Caccovicinus sp009774615",736,163,35,31,1262,218,0,2109,529,17,2214,79,5452,1378,31,118,98,134,245,166,5894,190,330,28,151,3901,297,115,3059,203,25,11,88,174,80,2294,0,14,33,0,66,0,0,11,0,41,51
"Caccovicinus sp910584785",291,0,0,16,208,20,18,2808,38,0,394,39,631,30305,0,0,16,14,55,26,960,37,57,0,0,31111,140,22,689,96,1956,0,18,31,0,1518,228,0,3187,0,175,593,0,17,0,3551,543
"MGYG000411451",261,17,111,14,0,477,11,23,15,14,16,95,218,13,0,80,0,74,18,0,33,103,0,11,0,13,12,0,18,76,0,0,23,16,100,939,0,0,0,0,62,0,0,10,0,0,292
"Caccovicinus sp910575565",192,200,76,23,1165,102,23,146,568,0,2100,32,1209,239,50,18,270,51,453,0,12707,127,178,19,122,181,450,13,7117,75,75,0,56,260,100,620,13,18,99,0,350,30,0,46,0,112,240
"MGYG000322995",47,56,0,0,95,27,0,110,39,0,187,0,407,133,0,10,0,12,30,18,349,24,24,0,18,232,27,0,219,18,11,0,0,36,0,169,0,0,24,0,14,0,0,0,0,17,15
"Caccovicinus sp910588895",25,14,0,0,19,21,0,12,24,0,24,0,70,0,0,0,0,0,81,0,86,0,0,0,11,0,58,0,97,0,0,0,0,30,0,30,0,0,0,0,11,0,0,20,0,0,0
